Depth	Temperature
m	ºC
25.63	15.0473
25.68	15.0548
25.73	15.0603
25.78	15.0652
25.83	15.0693
25.88	15.0726
25.93	15.0739
25.98	15.0734
26.03	15.0763
26.08	15.0779
26.13	15.0801
26.18	15.0827
26.23	15.0856
26.28	15.0864
26.33	15.0872
26.38	15.0873
26.43	15.0871
26.48	15.0861
26.53	15.0858
26.58	15.0857
26.63	15.0861
26.68	15.0859
26.73	15.0871
26.78	15.0869
26.83	15.0864
26.88	15.0866
26.93	15.087
26.98	15.0922
27.03	15.0987
27.08	15.1034
27.13	15.1097
27.18	15.1141
27.23	15.1165
27.28	15.1185
27.33	15.1181
27.38	15.1156
27.43	15.1147
27.48	15.1134
27.53	15.1164
27.58	15.1202
27.63	15.124
27.68	15.1285
27.73	15.1322
27.78	15.1348
27.83	15.1364
27.88	15.1377
27.93	15.1381
27.98	15.1395
28.03	15.1393
28.08	15.1392
28.13	15.1402
28.18	15.1412
28.23	15.1418
28.28	15.1441
28.33	15.1434
28.38	15.1438
28.43	15.1438
28.48	15.143
28.53	15.1435
28.58	15.1439
28.63	15.149
28.68	15.154
28.73	15.1584
28.78	15.1614
28.83	15.1633
28.88	15.1663
28.93	15.1675
28.98	15.168
29.03	15.1668
29.08	15.167
29.13	15.1668
29.18	15.1664
29.23	15.1661
29.28	15.1657
29.33	15.1671
29.38	15.1695
29.43	15.1732
29.48	15.1795
29.53	15.185
29.58	15.1873
29.63	15.1886
29.68	15.1924
29.73	15.1959
29.78	15.1991
29.83	15.2044
29.88	15.2082
29.93	15.2078
29.98	15.2092
30.03	15.2125
30.08	15.2164
30.13	15.2189
30.18	15.2236
30.23	15.2265
30.28	15.2296
30.33	15.2312
30.38	15.2342
30.43	15.236
30.48	15.2367
30.53	15.2386
30.58	15.2406
30.63	15.2416
30.68	15.243
30.73	15.2437
30.78	15.245
30.83	15.2448
30.88	15.2457
30.93	15.2477
30.98	15.2498
31.03	15.2515
31.08	15.2514
31.13	15.2528
31.18	15.2518
31.23	15.2508
31.28	15.2512
31.33	15.2522
31.38	15.2537
31.43	15.2552
31.48	15.2598
31.53	15.2649
31.58	15.2692
31.63	15.2733
31.68	15.2763
31.73	15.2794
31.78	15.2817
31.83	15.2835
31.88	15.2853
31.93	15.2864
31.98	15.2868
32.03	15.2858
32.08	15.2854
32.13	15.2842
32.18	15.2849
32.23	15.2859
32.28	15.2865
32.33	15.2875
32.38	15.288
32.43	15.2887
32.48	15.2892
32.53	15.2889
32.58	15.2899
32.63	15.2899
32.68	15.2883
32.73	15.2878
32.78	15.2886
32.83	15.2896
32.88	15.291
32.93	15.2932
32.98	15.2939
33.03	15.295
33.08	15.2994
33.13	15.3016
33.18	15.3046
33.23	15.3063
33.28	15.3076
33.33	15.3082
33.38	15.3084
33.43	15.3084
33.48	15.3089
33.53	15.3111
33.58	15.3151
33.63	15.317
33.68	15.318
33.73	15.319
33.78	15.3211
33.83	15.3241
33.88	15.3257
33.93	15.3261
33.98	15.326
34.03	15.3262
34.08	15.3272
34.13	15.328
34.18	15.3288
34.23	15.3294
34.28	15.3298
34.33	15.3303
34.38	15.3342
34.43	15.3378
34.48	15.3395
34.53	15.3407
34.58	15.3419
34.63	15.345
34.68	15.3475
34.73	15.3515
34.78	15.3574
34.83	15.3626
34.88	15.366
34.93	15.3682
34.98	15.3697
35.03	15.3719
35.08	15.3739
35.13	15.3763
35.18	15.379
35.23	15.3811
35.28	15.3823
35.33	15.3828
35.38	15.3819
35.43	15.3832
35.48	15.3841
35.53	15.3834
35.58	15.3831
35.63	15.3852
35.68	15.3865
35.73	15.3866
35.78	15.3873
35.83	15.3903
35.88	15.3918
35.93	15.3918
35.98	15.391
36.03	15.396
36.08	15.4013
36.13	15.4071
36.18	15.412
36.23	15.4147
36.28	15.4159
36.33	15.4171
36.38	15.4185
36.43	15.4209
36.48	15.4223
36.53	15.4232
36.58	15.4233
36.63	15.425
36.68	15.4263
36.73	15.4279
36.78	15.4291
36.83	15.4305
36.88	15.4308
36.93	15.4302
36.98	15.43
37.03	15.4241
37.08	15.4276
37.13	15.4231
37.18	15.4305
37.23	15.4372
37.28	15.4415
37.33	15.4395
37.38	15.4452
37.43	15.4416
37.48	15.4465
37.53	15.4481
37.58	15.4505
37.63	15.4491
37.68	15.4515
37.73	15.4572
37.78	15.4543
37.83	15.4599
37.88	15.455
37.93	15.4608
37.98	15.4588
38.03	15.4632
38.08	15.4725
38.13	15.4767
38.18	15.4812
38.23	15.4813
38.28	15.486
38.33	15.4893
38.38	15.4911
38.43	15.4934
38.48	15.4994
38.53	15.5005
38.58	15.4968
38.63	15.4973
38.68	15.5015
38.73	15.4953
38.78	15.4943
38.83	15.4987
38.88	15.4947
38.93	15.4953
38.98	15.495
39.03	15.4983
39.08	15.4932
39.13	15.4934
39.18	15.4988
39.23	15.4945
39.28	15.4948
