Depth	NGAM 
m	API
55.72	85.8079
55.77	85.8079
55.82	85.8079
55.87	85.8079
55.92	85.8079
55.97	85.8079
56.02	85.8079
56.07	85.8079
56.12	85.8079
56.17	85.8079
56.22	85.8079
56.27	85.8079
56.32	85.8079
56.37	85.8079
56.42	85.8079
56.47	85.8079
56.52	85.8079
56.57	85.8079
56.62	85.8079
56.67	85.8079
56.72	85.8079
56.77	85.8079
56.82	85.8079
56.87	84.4978
56.92	84.4978
56.97	84.4978
57.02	84.4978
57.07	84.4978
57.12	84.4978
57.17	84.4978
57.22	84.4978
57.27	84.4978
57.32	84.4978
57.37	83.1878
57.42	83.1878
57.47	83.1878
57.52	83.1878
57.57	83.1878
57.62	83.1878
57.67	83.1878
57.72	83.1878
57.77	83.1878
57.82	83.1878
57.87	-999
57.92	63.1579
57.97	78.5714
58.02	92.9825
58.07	66.0714
58.12	108.929
58.17	84.2105
58.22	62.5
58.27	82.1429
58.32	89.2857
58.37	105.263
58.42	89.2857
58.47	83.9286
58.52	96.4912
58.57	64.9123
58.62	98.2301
58.67	-999
58.72	80.7018
58.77	77.193
58.82	71.4286
58.87	88.4956
58.92	-999
58.97	-999
59.02	-999
59.07	101.786
59.12	78.1818
59.17	78.5714
59.22	80.7018
59.27	85.7143
59.32	98.2456
59.37	77.193
59.42	-999
59.47	69.6429
59.52	96.4912
59.57	110.526
59.62	75
59.67	98.2456
59.72	84.9557
59.77	-999
59.82	81.4159
59.87	-999
59.92	82.1429
59.97	92.8571
60.02	-999
60.07	67.8571
60.12	85.9649
60.17	76.7857
60.22	64.9123
60.27	85.9649
60.32	91.1765
60.37	-999
60.42	-999
60.47	80.3571
60.52	68.4211
60.57	103.571
60.62	77.193
60.67	89.4737
60.72	73.2143
60.77	89.2857
60.82	82.1429
60.87	60.7143
60.92	96.4286
60.97	78.9474
61.02	98.2456
61.07	75
61.12	47.3684
61.17	80.7018
61.22	73.6842
61.27	75.4386
61.32	100
61.37	95.2941
61.42	-999
61.47	-999
61.52	78.9474
61.57	73.2143
61.62	94.5455
61.67	91.0714
61.72	92.9825
61.77	89.2857
61.82	78.2353
61.87	-999
61.92	-999
61.97	92.8571
62.02	101.754
62.07	85.9649
62.12	89.3805
62.17	-999
62.22	71.9298
62.27	78.5714
62.32	84.2105
62.37	91.2281
62.42	92.8571
62.47	89.2857
62.52	53.5714
62.57	89.3805
62.62	-999
62.67	82.4561
62.72	92.8571
62.77	84.2105
62.82	81.4159
62.87	-999
62.92	94.7368
62.97	91.1504
63.02	-999
63.07	80.7018
63.12	85.7988
63.17	-999
63.22	-999
63.27	71.4286
63.32	86.7257
63.37	-999
63.42	108.772
63.47	83.9286
63.52	91.0714
63.57	64.9123
63.62	66.6667
63.67	77.193
63.72	62.8319
63.77	-999
63.82	65.4867
63.87	-999
63.92	77.193
63.97	67.6471
64.02	-999
64.07	-999
64.12	85.4545
64.17	70.1754
64.22	80.3571
64.27	98.2143
64.32	94.7368
64.37	89.4737
64.42	79.646
64.47	-999
64.52	77.193
64.57	92.9825
64.62	105.263
64.67	82.3009
64.72	-999
64.77	91.2281
64.82	71.9298
64.87	107.143
64.92	100
64.97	89.2857
65.02	82.3009
65.07	-999
65.12	80.3571
65.17	105.263
65.22	82.4561
65.27	80.531
65.32	-999
65.37	84.2105
65.42	103.571
65.47	91.2281
65.52	94.7368
65.57	91.2281
65.62	94.7368
65.67	103.509
65.72	80.7018
65.77	63.1579
65.82	75.4386
65.87	89.6552
65.92	79.3103
65.97	112.281
66.02	87.931
66.07	110.345
66.12	79.3103
66.17	75.8621
66.22	65.5172
66.27	101.724
66.32	79.3103
66.37	100
66.42	89.4737
66.47	81.0345
66.52	100
66.57	85.9649
66.62	105.263
66.67	82.7586
66.72	103.448
66.77	96.4912
66.82	81.0345
66.87	98.2759
66.92	87.931
66.97	65.5172
67.02	110.345
67.07	89.6552
67.12	89.6552
67.17	115.789
67.22	67.2414
67.27	89.6552
67.32	93.1035
67.37	101.754
67.42	84.4828
67.47	89.8305
67.52	72.8814
67.57	86.4407
67.62	96.6102
67.67	75
67.72	98.3051
67.77	79.3103
67.82	105
67.87	100
67.92	89.8305
67.97	100
68.02	84.7458
68.07	79.661
68.12	94.9153
68.17	76.2712
68.22	85.9649
68.27	66.1017
68.32	73.6842
68.37	101.724
68.42	81.0345
68.47	75.8621
68.52	105.172
68.57	94.8276
68.62	67.2414
68.67	72.4138
68.72	81.0345
68.77	100
68.82	91.3793
68.87	83.0508
68.92	98.2759
68.97	92.9825
69.02	105.172
69.07	93.2203
69.12	72.8814
69.17	74.5763
69.22	86.2069
69.27	94.9153
69.32	76.6667
69.37	79.661
69.42	77.9661
69.47	83.0508
69.52	64.4068
69.57	94.9153
69.62	87.931
69.67	70.6897
69.72	82.7586
69.77	48.2759
69.82	42.1053
69.87	63.1579
69.92	72.4138
69.97	89.4737
70.02	87.931
70.07	87.931
70.12	115.517
70.17	75.8621
70.22	101.724
70.27	84.4828
70.32	72.4138
70.37	87.931
70.42	101.724
70.47	84.2105
70.52	110.345
70.57	87.931
70.62	70.6897
70.67	87.7193
70.72	66.6667
70.77	89.6552
70.82	103.509
70.87	96.5517
70.92	81.0345
70.97	75.8621
71.02	93.1035
71.07	89.6552
71.12	86.2069
71.17	93.1035
71.22	82.7586
71.27	82.7586
71.32	82.4561
71.37	77.5862
71.42	75.8621
71.47	105.263
71.52	64.9123
71.57	94.8276
71.62	80.7018
71.67	93.1035
71.72	85.9649
71.77	91.3793
71.82	86.2069
71.87	94.8276
71.92	100
71.97	86.2069
72.02	82.7586
72.07	87.931
72.12	98.2759
72.17	77.193
72.22	72.4138
72.27	82.4561
72.32	78.9474
72.37	77.5862
72.42	82.4561
72.47	75.8621
72.52	93.1035
72.57	87.931
72.62	105.263
72.67	101.724
72.72	89.6552
72.77	81.0345
72.82	82.7586
72.87	86.2069
72.92	87.7193
72.97	122.414
73.02	117.241
73.07	59.6491
73.12	84.2105
73.17	78.9474
73.22	67.2414
73.27	96.4912
73.32	91.3793
73.37	81.0345
73.42	62.069
73.47	94.8276
73.52	81.0345
73.57	89.6552
73.62	103.448
73.67	84.4828
73.72	92.9825
73.77	82.7586
73.82	96.5517
73.87	94.8276
73.92	84.2105
73.97	75
74.02	67.2414
74.07	94.7368
74.12	100
74.17	77.5862
74.22	70.6897
74.27	77.5862
74.32	82.4561
74.37	96.5517
74.42	84.4828
74.47	87.931
74.52	81.0345
74.57	77.5862
74.62	70.6897
74.67	73.6842
74.72	94.8276
74.77	73.2143
74.82	96.5517
74.87	85.9649
74.92	67.2414
74.97	75.8621
75.02	93.1035
75.07	81.0345
75.12	79.3103
75.17	73.6842
75.22	110.345
75.27	93.1035
75.32	110.345
75.37	82.4561
75.42	68.9655
75.47	75.4386
75.52	74.1379
75.57	77.193
75.62	91.2281
75.67	63.1579
75.72	56.8966
75.77	70.6897
75.82	50
75.87	77.5862
75.92	84.4828
75.97	85.9649
76.02	81.0345
76.07	98.2759
76.12	91.3793
76.17	101.724
76.22	91.2281
76.27	82.7586
76.32	105.172
76.37	80.7018
76.42	91.2281
76.47	98.2456
76.52	103.448
76.57	103.509
76.62	91.3793
76.67	74.1379
76.72	103.448
76.77	75.8621
76.82	92.9825
76.87	91.3793
76.92	89.6552
76.97	93.1035
77.02	92.9825
77.07	84.4828
77.12	77.5862
77.17	98.2456
77.22	75.4386
77.27	85.9649
77.32	96.5517
77.37	86.2069
77.42	82.4561
77.47	101.724
77.52	75.8621
77.57	89.6552
77.62	84.4828
77.67	84.4828
77.72	82.7586
77.77	66.6667
77.82	96.4912
77.87	70.6897
77.92	106.897
77.97	100
78.02	92.9825
78.07	101.754
78.12	81.0345
78.17	68.4211
78.22	86.2069
78.27	98.2759
78.32	101.724
78.37	91.3793
78.42	87.931
78.47	93.1035
78.52	89.4737
78.57	94.8276
78.62	87.931
78.67	98.2456
78.72	70.6897
78.77	77.5862
78.82	77.193
78.87	63.1579
78.92	85.9649
78.97	72.4138
79.02	73.6842
79.07	75.8621
79.12	89.6552
79.17	101.724
79.22	86.2069
79.27	91.2281
79.32	82.7586
79.37	86.2069
79.42	82.7586
79.47	71.9298
79.52	72.4138
79.57	98.2456
79.62	101.724
79.67	75.4386
79.72	94.7368
79.77	89.6552
79.82	75.4386
79.87	82.7586
79.92	68.9655
79.97	82.7586
80.02	89.6552
80.07	103.448
80.12	66.6667
80.17	81.0345
80.22	106.897
80.27	87.7193
80.32	79.3103
80.37	78.9474
80.42	78.9474
80.47	94.8276
80.52	89.2857
80.57	106.897
80.62	105.172
80.67	100
80.72	91.3793
80.77	81.0345
80.82	82.7586
80.87	101.724
80.92	81.0345
80.97	89.4737
81.02	82.7586
81.07	98.2759
81.12	71.9298
81.17	82.7586
81.22	91.3793
81.27	101.754
81.32	85.9649
81.37	98.2456
81.42	100
81.47	94.8276
81.52	101.724
81.57	101.724
81.62	63.1579
81.67	72.4138
81.72	53.4483
81.77	70.6897
81.82	68.9655
81.87	70.1754
81.92	48.2759
81.97	63.1579
82.02	103.448
82.07	106.897
82.12	103.509
82.17	107.143
82.22	87.931
82.27	68.4211
82.32	106.897
82.37	77.5862
82.42	87.931
82.47	74.1379
82.52	105.172
82.57	56.8966
82.62	89.6552
82.67	92.9825
82.72	58.6207
82.77	85.9649
82.82	96.5517
82.87	82.4561
82.92	80.7018
82.97	91.2281
83.02	96.5517
83.07	103.509
83.12	96.5517
83.17	72.4138
83.22	89.6552
83.27	81.0345
83.32	89.6552
83.37	113.793
83.42	87.931
83.47	122.807
83.52	94.8276
83.57	112.281
83.62	98.2759
83.67	82.7586
83.72	78.9474
83.77	66.6667
83.82	78.9474
83.87	108.621
83.92	82.4561
83.97	79.3103
84.02	70.6897
84.07	101.724
84.12	100
84.17	84.4828
84.22	94.8276
84.27	89.6552
84.32	72.4138
84.37	100
84.42	94.8276
84.47	82.4561
84.52	82.7586
84.57	67.2414
84.62	92.8571
