Depth	Temperature
m	'C
2.94	17.1844
2.95	17.1765
2.96	17.1765
2.97	17.1844
2.98	17.1844
2.99	17.1805
3.00	17.1805
3.01	17.1844
3.02	17.1884
3.03	17.1844
3.04	17.1844
3.05	17.1884
3.06	17.1923
3.07	17.1884
3.08	17.1923
3.09	17.1923
3.10	17.1923
3.11	17.1923
3.12	17.1923
3.13	17.1923
3.14	17.1923
3.15	17.1923
3.16	17.1923
3.17	17.1923
3.18	17.1962
3.19	17.2002
3.20	17.2002
3.21	17.208
3.22	17.212
3.23	17.208
3.24	17.2041
3.25	17.212
3.26	17.2198
3.27	17.2159
3.28	17.2238
3.29	17.2238
3.30	17.2238
3.31	17.2198
3.32	17.2277
3.33	17.2317
3.34	17.2317
3.35	17.2356
3.36	17.2317
3.37	17.2317
3.38	17.2356
3.39	17.2356
3.40	17.2356
3.41	17.2395
3.42	17.2356
3.43	17.2435
3.44	17.2474
3.45	17.2474
3.46	17.2435
3.47	17.2395
3.48	17.2435
3.49	17.2435
3.50	17.2435
3.51	17.2356
3.52	17.2395
3.53	17.2395
3.54	17.2395
3.55	17.2395
3.56	17.2317
3.57	17.2395
3.58	17.2395
3.59	17.2356
3.60	17.2435
3.61	17.2395
3.62	17.2395
3.63	17.2435
3.64	17.2435
3.65	17.2435
3.66	17.2474
3.67	17.2474
3.68	17.2474
3.69	17.2513
3.70	17.2592
3.71	17.2592
3.72	17.2632
3.73	17.2671
3.74	17.2632
3.75	17.2513
3.76	17.2513
3.77	17.2513
3.78	17.2513
3.79	17.2513
3.80	17.2435
3.81	17.2474
3.82	17.2513
3.83	17.2553
3.84	17.2513
3.85	17.2553
3.86	17.2513
3.87	17.2553
3.88	17.2553
3.89	17.2592
3.90	17.2592
3.91	17.2592
3.92	17.2632
3.93	17.2553
3.94	17.2632
3.95	17.2671
3.96	17.2671
3.97	17.2789
3.98	17.275
3.99	17.275
4.00	17.275
4.01	17.275
4.02	17.2789
4.03	17.2828
4.04	17.2828
4.05	17.2828
4.06	17.2868
4.07	17.2828
4.08	17.2828
4.09	17.2868
4.10	17.2868
4.11	17.2828
4.12	17.2789
4.13	17.2828
4.14	17.2868
4.15	17.2789
4.16	17.2789
4.17	17.2828
4.18	17.2868
4.19	17.2868
4.20	17.2868
4.21	17.2828
4.22	17.2789
4.23	17.2868
4.24	17.2868
4.25	17.2868
4.26	17.2907
4.27	17.2907
4.28	17.2947
4.29	17.2907
4.30	17.2907
4.31	17.2907
4.32	17.2947
4.33	17.2947
4.34	17.2907
4.35	17.2907
4.36	17.2907
4.37	17.2907
4.38	17.2907
4.39	17.2986
4.40	17.2947
4.41	17.2986
4.42	17.3065
4.43	17.3065
4.44	17.3065
4.45	17.3065
4.46	17.3104
4.47	17.3143
4.48	17.3104
4.49	17.3183
4.50	17.3143
4.51	17.3143
4.52	17.3183
4.53	17.3222
4.54	17.3222
4.55	17.3183
4.56	17.3222
4.57	17.3301
4.58	17.334
4.59	17.334
4.60	17.334
4.61	17.334
4.62	17.338
4.63	17.334
4.64	17.3301
4.65	17.334
4.66	17.3301
4.67	17.338
4.68	17.3458
4.69	17.3419
4.70	17.3419
4.71	17.3458
4.72	17.3498
4.73	17.3458
4.74	17.3458
4.75	17.3458
4.76	17.3498
4.77	17.3458
4.78	17.3458
4.79	17.3498
4.80	17.3458
4.81	17.3458
4.82	17.3498
4.83	17.338
4.84	17.3458
4.85	17.3498
4.86	17.3498
4.87	17.3537
4.88	17.3576
4.89	17.3498
4.90	17.3498
4.91	17.3498
4.92	17.3458
4.93	17.3498
4.94	17.3537
4.95	17.3537
4.96	17.3576
4.97	17.3616
4.98	17.3655
4.99	17.3655
5.00	17.3655
5.01	17.3655
5.02	17.3655
5.03	17.3655
5.04	17.3616
5.05	17.3576
5.06	17.3616
5.07	17.3655
5.08	17.3695
5.09	17.3655
5.10	17.3655
5.11	17.3695
5.12	17.3695
5.13	17.3655
5.14	17.3655
5.15	17.3695
5.16	17.3695
5.17	17.3616
5.18	17.3616
5.19	17.3655
5.20	17.3655
5.21	17.3655
5.22	17.3655
5.23	17.3734
5.24	17.3734
5.25	17.3734
5.26	17.3695
5.27	17.3655
5.28	17.3734
5.29	17.3773
5.30	17.3813
5.31	17.3773
5.32	17.3773
5.33	17.3773
