Depth	NGAM
m	API
81.40	20.7692
81.45	16.4706
81.50	36.9231
81.55	23.0769
81.60	39.2308
81.65	32.9412
81.70	29.434
81.75	32.3077
81.80	21.1765
81.85	23.0769
81.90	27.6923
81.95	25.8824
82.00	25.3846
82.05	16.1538
82.10	23.0769
82.15	48.4615
82.20	23.5294
82.25	9.23077
82.30	31.6981
82.35	27.6923
82.40	30.5882
82.45	23.0769
82.50	18.4615
82.55	56.4706
82.60	34.6154
82.65	25.3846
82.70	18.8235
82.75	36.9231
82.80	16.1538
82.85	16.4706
82.90	31.6981
82.95	16.1538
83.00	34.6154
83.05	29.434
83.10	32.3077
83.15	25.3846
83.20	35.2941
83.25	16.1538
83.30	21.1765
83.35	25.3846
83.40	18.4615
83.45	30.5882
83.50	20.7692
83.55	21.1765
83.60	18.4615
83.65	34.6154
83.70	18.4615
83.75	16.1538
83.80	34.6154
83.85	23.0769
83.90	27.6923
83.95	27.6923
84.00	13.8462
84.05	30
84.10	16.4706
84.15	39.2308
84.20	27.6923
84.25	27.6923
84.30	39.2308
84.35	18.4615
84.40	20.7692
84.45	30.5882
84.50	36.9231
84.55	16.1538
84.60	36.9231
84.65	13.8462
84.70	27.6923
84.75	30
84.80	32.3077
84.85	36.9231
84.90	23.5294
84.95	30
85.00	27.6923
85.05	23.5294
85.10	9.23077
85.15	18.4615
85.20	28.2353
85.25	13.8462
85.30	27.6923
85.35	13.8462
85.40	13.8462
85.45	27.1698
85.50	32.3077
85.55	25.3846
85.60	20.7692
85.65	25.3846
85.70	28.2353
85.75	20.7692
85.80	16.1538
85.85	28.2353
85.90	32.3077
85.95	35.2941
86.00	25.3846
86.05	16.1538
86.10	27.6923
86.15	20.7692
86.20	30
86.25	43.8462
86.30	20.7692
86.35	39.2308
86.40	32.3077
86.45	20.7692
86.50	35.2941
86.55	36.9231
86.60	32.3077
86.65	25.3846
86.70	16.1538
86.75	11.5385
86.80	40
86.85	38.4906
86.90	25.8824
86.95	23.0769
87.00	18.4615
87.05	13.8462
87.10	16.1538
87.15	30
87.20	27.6923
87.25	23.0769
87.30	25.3846
87.35	21.1765
87.40	23.0769
87.45	34.6154
87.50	23.0769
87.55	20.7692
87.60	11.7647
87.65	11.5385
87.70	25.8824
87.75	34.6154
87.80	20.3774
87.85	18.4615
87.90	16.1538
87.95	20.7692
88.00	23.0769
88.05	29.434
88.10	23.0769
88.15	28.2353
88.20	30
88.25	21.1765
88.30	20.7692
88.35	20.7692
88.40	28.2353
88.45	25.3846
88.50	25.3846
88.55	35.2941
88.60	30
88.65	22.6415
88.70	34.6154
88.75	23.0769
88.80	27.6923
88.85	25.3846
88.90	20.7692
88.95	28.2353
89.00	30
89.05	25.3846
89.10	32.3077
89.15	9.23077
89.20	40
89.25	20.7692
89.30	25.3846
89.35	23.0769
89.40	18.4615
89.45	30
89.50	25.3846
89.55	39.2308
89.60	30
89.65	39.2308
89.70	37.6471
