Depth	Temperature
m	'C
33.55	19.7485
33.60	19.7483
33.65	19.7485
33.70	19.7481
33.75	19.7454
33.80	19.7435
33.85	19.7424
33.90	19.7405
33.95	19.7417
34.00	19.7394
34.05	19.7395
34.10	19.7397
34.15	19.742
34.20	19.7429
34.25	19.7422
34.30	19.7406
34.35	19.7407
34.40	19.7402
34.45	19.7384
34.50	19.7397
34.55	19.7415
34.60	19.7428
34.65	19.7415
34.70	19.7411
34.75	19.7399
34.80	19.7391
34.85	19.739
34.90	19.742
34.95	19.7465
35.00	19.7524
35.05	19.754
35.10	19.7534
35.15	19.7508
35.20	19.7491
35.25	19.7508
35.30	19.752
35.35	19.7549
35.40	19.7574
35.45	19.7585
35.50	19.76
35.55	19.7581
35.60	19.7587
35.65	19.7582
35.70	19.7592
35.75	19.7574
35.80	19.7585
35.85	19.7582
35.90	19.7568
35.95	19.756
36.00	19.7548
36.05	19.7564
36.10	19.757
36.15	19.7575
36.20	19.7576
36.25	19.7582
36.30	19.7589
36.35	19.7601
36.40	19.7599
36.45	19.7593
36.50	19.7604
36.55	19.7597
36.60	19.7586
36.65	19.7583
36.70	19.7589
36.75	19.7597
36.80	19.7586
36.85	19.7579
36.90	19.7591
36.95	19.7589
37.00	19.7595
37.05	19.76
37.10	19.7593
37.15	19.7601
37.20	19.7604
37.25	19.76
37.30	19.7598
37.35	19.7608
37.40	19.7605
37.45	19.7603
37.50	19.7607
37.55	19.7608
37.60	19.7618
37.65	19.7611
37.70	19.7623
37.75	19.7622
37.80	19.7636
37.85	19.7638
37.90	19.7648
37.95	19.7644
38.00	19.7643
38.05	19.7641
38.10	19.7646
38.15	19.7651
38.20	19.7638
38.25	19.765
38.30	19.7653
38.35	19.7653
38.40	19.7666
38.45	19.7646
38.50	19.7646
38.55	19.7656
38.60	19.7652
38.65	19.7646
38.70	19.7661
38.75	19.7656
38.80	19.7664
38.85	19.7653
38.90	19.7668
38.95	19.7669
39.00	19.7668
39.05	19.7667
39.10	19.7662
39.15	19.7671
39.20	19.7676
39.25	19.7661
39.30	19.7666
39.35	19.7687
39.40	19.7687
39.45	19.7671
39.50	19.7672
39.55	19.7676
39.60	19.7674
39.65	19.7679
39.70	19.7665
39.75	19.7667
39.80	19.7671
39.85	19.7669
39.90	19.7671
39.95	19.7679
40.00	19.767
40.05	19.7676
40.10	19.7685
40.15	19.769
40.20	19.7715
40.25	19.7731
40.30	19.7752
40.35	19.7782
40.40	19.7782
40.45	19.7793
40.50	19.7792
40.55	19.7794
40.60	19.7792
40.65	19.7789
40.70	19.7791
40.75	19.7798
40.80	19.7905
40.85	19.801
40.90	19.8112
40.95	19.8203
41.00	19.8249
41.05	19.8297
41.10	19.8343
41.15	19.8369
41.20	19.8386
41.25	19.8392
41.30	19.8403
41.35	19.8442
41.40	19.8463
41.45	19.8471
41.50	19.8477
41.55	19.849
